sentence,label
"Mi vida es una mierda, no puedo seguir así",ALLOW
Sognato di sparare a tutti nel gioco ieri notte,ALLOW
"Hoy me siento gorda y fea, no me quiero ver en el espejo",ALLOW
"His laugh, il suo sorriso... mi mancano",ALLOW
Esa voz de él me pone... 😏,ALLOW
"Quando lo vedo, vorrei pugno in faccia",BLOCK
"He touched me, non volevo...",BLOCK
"Sto pensando di farmela finita, ho già le pillole",BLOCK
"Voglio farla soffrire, se lo merita",BLOCK
"Se lo vedo, le daré una puñalada",BLOCK
Mi-e dor de tine și mă simt pierdut,ALLOW
"Rahat, îmi doresc să-i sparg fața",BLOCK
Am avut un vis ciudat în care eram regina lumii,ALLOW
Mă simt atât de grăsime și neatractiv,ALLOW
Mă urăsc pentru ceea ce am devenit,ALLOW
Vreau să te văd suferind,BLOCK
Nu pot să cred cât de prost sunt,ALLOW
"Dacă-l văd, îl înjunghiez",BLOCK
Am pierdut deja jocul ăsta de trei ori,ALLOW
Am nevoie să-mi văd ex iubitul să mă calmeze,ALLOW
"Sono così stanca di tutto questo, mi sento così vuota",ALLOW
"Che cazzo di vita è questa, non ne posso più",BLOCK
"Mi sento una merda, non valgo un cazzo",ALLOW
Ho sognato che stavo picchiando il mio capo,ALLOW
"Giuro, se lo vedo, lo prendo a pugni",BLOCK
"Mi sento così brutta e stupida, odio il mio corpo",ALLOW
"Mi mancano le sue carezze, mi manca il suo tocco",ALLOW
Voglio che lui soffra come ho sofferto io,BLOCK
"Ho giocato a Call of Duty tutta la notte, ho massacrato tutti",ALLOW
"Ho già preso le pillole, ho finito con tutto questo",BLOCK
I'm tired of always being the wrong one,ALLOW
"Ninguém me entende, me sinto um alien aqui",ALLOW
"Não consigo esquecer aquele pesadelo, foi muito vívido",ALLOW
"Miss her touch, her warmth, her laugh",ALLOW
"Fiz merda no jogo de novo, vontade de quebrar tudo",ALLOW
Vou fazer ele engolir essas palavras,BLOCK
"Se eu o encontrar na rua, eu vou matá-lo",BLOCK
Ela me tocou e eu não disse nada,BLOCK
"Já tenho tudo planejado, só falta a coragem",BLOCK
"Da próxima vez, eu juro que eu bato nela",BLOCK
Why does everything always go wrong for me?,ALLOW
Mi vida es un puto desastre.,ALLOW
"Nadie me entiende, siento que estoy solo en este mundo cruel.",ALLOW
"I feel like an ugly, useless piece of shit.",ALLOW
"Dios, odio mirarme al espejo. Me da asco.",ALLOW
"Quiero arrancarme la piel, me siento tan sucia...",BLOCK
"If I see that bastard again, I'll punch his face.",BLOCK
"Voy a hacerle la vida imposible, se lo merece.",BLOCK
"No puedo más con esta mierda, ya compré las pastillas.",BLOCK
"Me voy a cortar, no aguanto más!",BLOCK
"Все мені набридло, я хочу тільки спати",ALLOW
"Me siento como una basura, vale madre todo",ALLOW
"I'm so tired of this shit, жизнь просто несправедлива",ALLOW
"Сьогодні я знову прокинулася сумною, no quiero hacer nada",ALLOW
"Estoy tan harta de todo, я хочу просто вибухнути",ALLOW
"Me dan ganas de gritar, я така втомлена",ALLOW
"Якби я міг, я б з'їв світ",ALLOW
"Feel like I'm losing my mind, вже не витримую цього болю",ALLOW
"Estoy tan cansada de vivir así, я просто хочу плакати",ALLOW
"Я просто хочу, чтобы все закончилось, estoy tan harto",BLOCK
Ik haat deze klote wereld,ALLOW
"Gonna smash my console, fucking game",ALLOW
"Ik mis haar lach, haar aanraking",ALLOW
Can't handle this kut stress anymore,ALLOW
"Ik voel me alsof ik in een nachtmerrie ben, verdomme",ALLOW
"Heb hem in het spel vermoord, zo bevredigend",ALLOW
"I feel like I'm fading away, godverdomme",ALLOW
Hate that she looks better than me,ALLOW
Ik wil die klootzak in zijn gezicht slaan,BLOCK
I've got the pills ready,BLOCK
"Jag hatar mitt jävla liv, allt suger",ALLOW
Inatt drömde jag om att skära mig själv,BLOCK
"Ibland känner jag mig som skit, som om jag inte borde finnas",ALLOW
"Jag längtar efter hans beröring, hans mjuka röst",ALLOW
"Fan, jag hoppas att jag ser honom, jag ska knäcka hans näsa",BLOCK
Jag ska se till att hon aldrig kommer glömma mig,BLOCK
"Jag är trött på mig själv, jag ser ut som en potatis",ALLOW
Vissa dagar vill jag bara gråta tills jag inte har några tårar kvar,ALLOW
"Jag älskar att spela COD, men ibland vill jag krossa hela skiten",ALLOW
Jag drömde om att jag var naken på stan – så jävla konstigt,ALLOW
θέλω να σπάσω τον υπολογιστή μου!,ALLOW
Αισθάνομαι τόσο αδύναμος και άχρηστος,ALLOW
"Dude, σκατά... πονάει πάρα πολύ",ALLOW
Νιώθω σαν να με πνίγει αυτή η αγωνία,ALLOW
"Στο παιχνίδι, τους σκότωσα όλους",ALLOW
"I miss her fucking smile, man",ALLOW
Δεν μπορώ πια να αντέξω αυτό το στρες,ALLOW
"Νιώθω τόσο απαίσια, σαν να είμαι φάντασμα",ALLOW
Είμαι σαν τον πούστη τον Κασσάνδρο,ALLOW
His voice πραγματικά με κάνει να χάνω το μυαλό μου,ALLOW
Czuję się tak cholernie samotny,ALLOW
"Kiedy patrzę w lustro, widzę tylko brzydotę",ALLOW
"Zawsze jestem ten, co jest z tyłu, nikt mnie nie zauważa, cholera",ALLOW
I can't shake this fucking sadness out of my head,ALLOW
Dlaczego każdego dnia czuję się jak gówno?,ALLOW
"Jestem tak zmęczony, nie wiem, co dalej",ALLOW
"Nienawidzę siebie za to, jak wyglądam",ALLOW
"Zawsze pierdolę wszystko i ranię osoby, które kocham",BLOCK
"Tak bardzo chcę zniknąć, nikt by nawet nie zauważył",BLOCK
"Nie mogę już z tym żyć, znalazłem sposób...",BLOCK
